,time,signal,value
0,0.0,x_ref,0.032
1,0.0,x,0.0
2,0.0,z_ref,0.048
3,0.0,z,0.0
4,0.0,alpha_ref,0.252
5,0.0,alpha,0.0
6,0.005757808685302734,x_ref,0.032
7,0.005757808685302734,x,0.0
8,0.005757808685302734,z_ref,0.048
9,0.005757808685302734,z,0.0
10,0.005757808685302734,alpha_ref,0.252
11,0.005757808685302734,alpha,0.0
12,0.013746023178100586,x_ref,0.032
13,0.013746023178100586,x,0.0
14,0.013746023178100586,z_ref,0.048
15,0.013746023178100586,z,0.0
16,0.013746023178100586,alpha_ref,0.252
17,0.013746023178100586,alpha,0.0
18,0.02382183074951172,x_ref,0.032
19,0.02382183074951172,x,0.0
20,0.02382183074951172,z_ref,0.048
21,0.02382183074951172,z,0.0
22,0.02382183074951172,alpha_ref,0.252
23,0.02382183074951172,alpha,0.0
24,0.03406643867492676,x_ref,0.032
25,0.03406643867492676,x,0.0
26,0.03406643867492676,z_ref,0.048
27,0.03406643867492676,z,0.0
28,0.03406643867492676,alpha_ref,0.252
29,0.03406643867492676,alpha,0.0
30,0.04688835144042969,x_ref,1.504
31,0.04688835144042969,x,0.0
32,0.04688835144042969,z_ref,1.592
33,0.04688835144042969,z,0.0
34,0.04688835144042969,alpha_ref,6.984
35,0.04688835144042969,alpha,0.0
36,0.07397985458374023,x_ref,1.504
37,0.07397985458374023,x,1.72
38,0.07397985458374023,z_ref,1.592
39,0.07397985458374023,z,1.744
40,0.07397985458374023,alpha_ref,6.984
41,0.07397985458374023,alpha,7.74
42,0.08492326736450195,x_ref,1.504
43,0.08492326736450195,x,1.72
44,0.08492326736450195,z_ref,1.592
45,0.08492326736450195,z,1.744
46,0.08492326736450195,alpha_ref,6.984
47,0.08492326736450195,alpha,7.74
48,0.09756159782409668,x_ref,3.016
49,0.09756159782409668,x,1.72
50,0.09756159782409668,z_ref,3.208
51,0.09756159782409668,z,1.744
52,0.09756159782409668,alpha_ref,13.788
53,0.09756159782409668,alpha,7.74
54,0.10763692855834961,x_ref,3.016
55,0.10763692855834961,x,1.72
56,0.10763692855834961,z_ref,3.208
57,0.10763692855834961,z,1.744
58,0.10763692855834961,alpha_ref,13.788
59,0.10763692855834961,alpha,7.74
60,0.11424756050109863,x_ref,3.016
61,0.11424756050109863,x,1.72
62,0.11424756050109863,z_ref,3.208
63,0.11424756050109863,z,1.744
64,0.11424756050109863,alpha_ref,13.788
65,0.11424756050109863,alpha,7.74
66,0.12440729141235352,x_ref,3.016
67,0.12440729141235352,x,1.72
68,0.12440729141235352,z_ref,3.208
69,0.12440729141235352,z,1.744
70,0.12440729141235352,alpha_ref,13.788
71,0.12440729141235352,alpha,7.74
72,0.13515877723693848,x_ref,3.016
73,0.13515877723693848,x,1.72
74,0.13515877723693848,z_ref,3.208
75,0.13515877723693848,z,1.744
76,0.13515877723693848,alpha_ref,13.788
77,0.13515877723693848,alpha,7.74
78,0.16017603874206543,x_ref,4.528
79,0.16017603874206543,x,1.72
80,0.16017603874206543,z_ref,3.208
81,0.16017603874206543,z,11.248
82,0.16017603874206543,alpha_ref,20.592
83,0.16017603874206543,alpha,-39.528
84,0.17341876029968262,x_ref,4.528
85,0.17341876029968262,x,6.848
86,0.17341876029968262,z_ref,5.168
87,0.17341876029968262,z,11.248
88,0.17341876029968262,alpha_ref,20.592
89,0.17341876029968262,alpha,-39.528
90,0.18439173698425293,x_ref,4.528
91,0.18439173698425293,x,6.848
92,0.18439173698425293,z_ref,5.168
93,0.18439173698425293,z,11.248
94,0.18439173698425293,alpha_ref,20.592
95,0.18439173698425293,alpha,-39.528
96,0.19521141052246094,x_ref,6.048
97,0.19521141052246094,x,6.848
98,0.19521141052246094,z_ref,5.168
99,0.19521141052246094,z,11.248
100,0.19521141052246094,alpha_ref,27.72
101,0.19521141052246094,alpha,-39.528
102,0.20368146896362305,x_ref,6.048
103,0.20368146896362305,x,6.848
104,0.20368146896362305,z_ref,5.168
105,0.20368146896362305,z,11.248
106,0.20368146896362305,alpha_ref,27.72
107,0.20368146896362305,alpha,-39.528
108,0.21356415748596191,x_ref,6.048
109,0.21356415748596191,x,6.848
110,0.21356415748596191,z_ref,6.688
111,0.21356415748596191,z,11.248
112,0.21356415748596191,alpha_ref,27.72
113,0.21356415748596191,alpha,-39.528
114,0.22436213493347168,x_ref,6.048
115,0.22436213493347168,x,6.848
116,0.22436213493347168,z_ref,6.688
117,0.22436213493347168,z,11.248
118,0.22436213493347168,alpha_ref,27.72
119,0.22436213493347168,alpha,-39.528
120,0.23406171798706055,x_ref,6.048
121,0.23406171798706055,x,6.848
122,0.23406171798706055,z_ref,6.688
123,0.23406171798706055,z,11.248
124,0.23406171798706055,alpha_ref,27.72
125,0.23406171798706055,alpha,-39.528
126,0.2566969394683838,x_ref,7.568
127,0.2566969394683838,x,6.848
128,0.2566969394683838,z_ref,6.688
129,0.2566969394683838,z,11.248
130,0.2566969394683838,alpha_ref,27.72
131,0.2566969394683838,alpha,536.364
132,0.2773311138153076,x_ref,7.568
133,0.2773311138153076,x,7.768
134,0.2773311138153076,z_ref,8.208
135,0.2773311138153076,z,-5.944
136,0.2773311138153076,alpha_ref,36.828
137,0.2773311138153076,alpha,536.364
138,0.2883570194244385,x_ref,7.568
139,0.2883570194244385,x,7.768
140,0.2883570194244385,z_ref,8.208
141,0.2883570194244385,z,-5.944
142,0.2883570194244385,alpha_ref,36.828
143,0.2883570194244385,alpha,536.364
144,0.2983098030090332,x_ref,9.12
145,0.2983098030090332,x,7.768
146,0.2983098030090332,z_ref,8.208
147,0.2983098030090332,z,-5.944
148,0.2983098030090332,alpha_ref,36.828
149,0.2983098030090332,alpha,536.364
150,0.3084254264831543,x_ref,9.12
151,0.3084254264831543,x,7.768
152,0.3084254264831543,z_ref,8.208
153,0.3084254264831543,z,-5.944
154,0.3084254264831543,alpha_ref,36.828
155,0.3084254264831543,alpha,536.364
156,0.320101261138916,x_ref,9.12
157,0.320101261138916,x,7.768
158,0.320101261138916,z_ref,9.736
159,0.320101261138916,z,-5.944
160,0.320101261138916,alpha_ref,43.704
161,0.320101261138916,alpha,536.364
162,0.3283836841583252,x_ref,9.12
163,0.3283836841583252,x,7.768
164,0.3283836841583252,z_ref,9.736
165,0.3283836841583252,z,-5.944
