,time,signal,value
0,0.0,x_ref,0.0
1,0.0,x,0.0
2,0.0,z_ref,0.12
3,0.0,z,0.0
4,0.0,alpha_ref,0.0
5,0.0,alpha,0.0
6,0.03400564193725586,x_ref,0.08
7,0.03400564193725586,x,0.0
8,0.03400564193725586,z_ref,0.12
9,0.03400564193725586,z,0.0
10,0.03400564193725586,alpha_ref,0.0
11,0.03400564193725586,alpha,0.0
12,0.04230928421020508,x_ref,0.08
13,0.04230928421020508,x,0.0
14,0.04230928421020508,z_ref,0.12
15,0.04230928421020508,z,0.0
16,0.04230928421020508,alpha_ref,0.0
17,0.04230928421020508,alpha,0.0
18,0.05625176429748535,x_ref,0.08
19,0.05625176429748535,x,0.0
20,0.05625176429748535,z_ref,0.584
21,0.05625176429748535,z,0.0
22,0.05625176429748535,alpha_ref,0.0
23,0.05625176429748535,alpha,0.0
24,0.09459185600280762,x_ref,0.296
25,0.09459185600280762,x,0.12
26,0.09459185600280762,z_ref,0.584
27,0.09459185600280762,z,0.584
28,0.09459185600280762,alpha_ref,0.036
29,0.09459185600280762,alpha,0.0
30,0.10514330863952637,x_ref,0.296
31,0.10514330863952637,x,0.12
32,0.10514330863952637,z_ref,1.256
33,0.10514330863952637,z,0.584
34,0.10514330863952637,alpha_ref,0.036
35,0.10514330863952637,alpha,0.0
36,0.115478515625,x_ref,0.296
37,0.115478515625,x,0.12
38,0.115478515625,z_ref,1.256
39,0.115478515625,z,0.584
40,0.115478515625,alpha_ref,0.036
41,0.115478515625,alpha,0.0
42,0.12984704971313477,x_ref,0.544
43,0.12984704971313477,x,0.12
44,0.12984704971313477,z_ref,1.256
45,0.12984704971313477,z,0.584
46,0.12984704971313477,alpha_ref,0.036
47,0.12984704971313477,alpha,0.0
48,0.13661503791809082,x_ref,0.544
49,0.13661503791809082,x,0.12
50,0.13661503791809082,z_ref,1.256
51,0.13661503791809082,z,0.584
52,0.13661503791809082,alpha_ref,0.036
53,0.13661503791809082,alpha,0.0
54,0.14559006690979004,x_ref,0.544
55,0.14559006690979004,x,0.12
56,0.14559006690979004,z_ref,1.256
57,0.14559006690979004,z,0.584
58,0.14559006690979004,alpha_ref,0.036
59,0.14559006690979004,alpha,0.0
60,0.15473151206970215,x_ref,0.544
61,0.15473151206970215,x,0.12
62,0.15473151206970215,z_ref,1.92
63,0.15473151206970215,z,0.584
64,0.15473151206970215,alpha_ref,0.036
65,0.15473151206970215,alpha,0.0
66,0.16866374015808105,x_ref,0.544
67,0.16866374015808105,x,0.12
68,0.16866374015808105,z_ref,1.92
69,0.16866374015808105,z,0.584
70,0.16866374015808105,alpha_ref,0.036
71,0.16866374015808105,alpha,0.0
72,0.19436097145080566,x_ref,0.816
73,0.19436097145080566,x,0.792
74,0.19436097145080566,z_ref,1.92
75,0.19436097145080566,z,2.176
76,0.19436097145080566,alpha_ref,0.072
77,0.19436097145080566,alpha,0.036
78,0.2050917148590088,x_ref,0.816
79,0.2050917148590088,x,0.792
80,0.2050917148590088,z_ref,2.568
81,0.2050917148590088,z,2.176
82,0.2050917148590088,alpha_ref,0.072
83,0.2050917148590088,alpha,0.036
84,0.21547698974609375,x_ref,0.816
85,0.21547698974609375,x,0.792
86,0.21547698974609375,z_ref,2.568
87,0.21547698974609375,z,2.176
88,0.21547698974609375,alpha_ref,0.072
89,0.21547698974609375,alpha,0.036
90,0.22622156143188477,x_ref,1.056
91,0.22622156143188477,x,0.792
92,0.22622156143188477,z_ref,2.568
93,0.22622156143188477,z,2.176
94,0.22622156143188477,alpha_ref,0.072
95,0.22622156143188477,alpha,0.036
96,0.2378833293914795,x_ref,1.056
97,0.2378833293914795,x,0.792
98,0.2378833293914795,z_ref,2.568
99,0.2378833293914795,z,2.176
100,0.2378833293914795,alpha_ref,0.072
101,0.2378833293914795,alpha,0.036
102,0.2447056770324707,x_ref,1.056
103,0.2447056770324707,x,0.792
104,0.2447056770324707,z_ref,2.568
105,0.2447056770324707,z,2.176
106,0.2447056770324707,alpha_ref,0.072
107,0.2447056770324707,alpha,0.036
108,0.2557106018066406,x_ref,1.056
109,0.2557106018066406,x,0.792
110,0.2557106018066406,z_ref,3.232
111,0.2557106018066406,z,2.176
112,0.2557106018066406,alpha_ref,0.072
113,0.2557106018066406,alpha,0.036
114,0.2867457866668701,x_ref,1.312
115,0.2867457866668701,x,1.232
116,0.2867457866668701,z_ref,3.232
117,0.2867457866668701,z,3.312
118,0.2867457866668701,alpha_ref,0.072
119,0.2867457866668701,alpha,0.072
120,0.2972564697265625,x_ref,1.312
121,0.2972564697265625,x,1.232
122,0.2972564697265625,z_ref,3.232
123,0.2972564697265625,z,3.312
124,0.2972564697265625,alpha_ref,0.072
125,0.2972564697265625,alpha,0.072
126,0.30713939666748047,x_ref,1.312
127,0.30713939666748047,x,1.232
128,0.30713939666748047,z_ref,3.896
129,0.30713939666748047,z,3.312
130,0.30713939666748047,alpha_ref,0.072
131,0.30713939666748047,alpha,0.072
132,0.3169283866882324,x_ref,1.312
133,0.3169283866882324,x,1.232
134,0.3169283866882324,z_ref,3.896
135,0.3169283866882324,z,3.312
136,0.3169283866882324,alpha_ref,0.072
137,0.3169283866882324,alpha,0.072
138,0.3272359371185303,x_ref,1.552
139,0.3272359371185303,x,1.232
140,0.3272359371185303,z_ref,3.896
141,0.3272359371185303,z,3.312
142,0.3272359371185303,alpha_ref,0.072
143,0.3272359371185303,alpha,0.072
144,0.3384854793548584,x_ref,1.552
145,0.3384854793548584,x,1.232
146,0.3384854793548584,z_ref,3.896
147,0.3384854793548584,z,3.312
148,0.3384854793548584,alpha_ref,0.108
149,0.3384854793548584,alpha,0.072
150,0.34746432304382324,x_ref,1.552
151,0.34746432304382324,x,1.232
152,0.34746432304382324,z_ref,3.896
153,0.34746432304382324,z,3.312
154,0.34746432304382324,alpha_ref,0.108
155,0.34746432304382324,alpha,0.072
156,0.35782814025878906,x_ref,1.552
157,0.35782814025878906,x,1.232
158,0.35782814025878906,z_ref,4.552
159,0.35782814025878906,z,3.312
160,0.35782814025878906,alpha_ref,0.108
161,0.35782814025878906,alpha,0.072
162,0.3857002258300781,x_ref,1.824
163,0.3857002258300781,x,1.72
164,0.3857002258300781,z_ref,4.552
165,0.3857002258300781,z,4.632
166,0.3857002258300781,alpha_ref,0.108
167,0.3857002258300781,alpha,0.108
168,0.39658665657043457,x_ref,1.824
169,0.39658665657043457,x,1.72
170,0.39658665657043457,z_ref,4.552
171,0.39658665657043457,z,4.632
172,0.39658665657043457,alpha_ref,0.108
173,0.39658665657043457,alpha,0.108
174,0.40640878677368164,x_ref,1.824
175,0.40640878677368164,x,1.72
176,0.40640878677368164,z_ref,5.216
177,0.40640878677368164,z,4.632
178,0.40640878677368164,alpha_ref,0.108
179,0.40640878677368164,alpha,0.108
180,0.41670680046081543,x_ref,1.824
181,0.41670680046081543,x,1.72
182,0.41670680046081543,z_ref,5.216
183,0.41670680046081543,z,4.632
184,0.41670680046081543,alpha_ref,0.108
185,0.41670680046081543,alpha,0.108
186,0.4269075393676758,x_ref,1.824
187,0.4269075393676758,x,1.72
188,0.4269075393676758,z_ref,5.216
189,0.4269075393676758,z,4.632
190,0.4269075393676758,alpha_ref,0.108
191,0.4269075393676758,alpha,0.108
192,0.4427657127380371,x_ref,2.072
193,0.4427657127380371,x,1.72
194,0.4427657127380371,z_ref,5.216
195,0.4427657127380371,z,4.632
196,0.4427657127380371,alpha_ref,0.144
197,0.4427657127380371,alpha,0.108
198,0.44992923736572266,x_ref,2.072
199,0.44992923736572266,x,1.72
200,0.44992923736572266,z_ref,5.216
201,0.44992923736572266,z,4.632
202,0.44992923736572266,alpha_ref,0.144
203,0.44992923736572266,alpha,0.108
204,0.4786033630371094,x_ref,2.072
205,0.4786033630371094,x,2.216
206,0.4786033630371094,z_ref,5.88
207,0.4786033630371094,z,5.936
208,0.4786033630371094,alpha_ref,0.144
209,0.4786033630371094,alpha,0.108
210,0.48518967628479004,x_ref,2.328
211,0.48518967628479004,x,2.216
212,0.48518967628479004,z_ref,5.88
213,0.48518967628479004,z,5.936
214,0.48518967628479004,alpha_ref,0.144
215,0.48518967628479004,alpha,0.108
216,0.49423813819885254,x_ref,2.328
217,0.49423813819885254,x,2.216
218,0.49423813819885254,z_ref,5.88
219,0.49423813819885254,z,5.936
220,0.49423813819885254,alpha_ref,0.144
221,0.49423813819885254,alpha,0.108
222,0.5037271976470947,x_ref,2.328
223,0.5037271976470947,x,2.216
224,0.5037271976470947,z_ref,6.544
225,0.5037271976470947,z,5.936
226,0.5037271976470947,alpha_ref,0.144
227,0.5037271976470947,alpha,0.108
228,0.512371301651001,x_ref,2.328
229,0.512371301651001,x,2.216
230,0.512371301651001,z_ref,6.544
231,0.512371301651001,z,5.936
232,0.512371301651001,alpha_ref,0.144
233,0.512371301651001,alpha,0.108
234,0.5230674743652344,x_ref,2.328
235,0.5230674743652344,x,2.216
236,0.5230674743652344,z_ref,6.544
237,0.5230674743652344,z,5.936
238,0.5230674743652344,alpha_ref,0.144
239,0.5230674743652344,alpha,0.108
240,0.5325243473052979,x_ref,2.576
241,0.5325243473052979,x,2.216
242,0.5325243473052979,z_ref,6.544
243,0.5325243473052979,z,5.936
244,0.5325243473052979,alpha_ref,0.144
245,0.5325243473052979,alpha,0.108
246,0.5429365634918213,x_ref,2.576
247,0.5429365634918213,x,2.216
248,0.5429365634918213,z_ref,6.544
249,0.5429365634918213,z,5.936
250,0.5429365634918213,alpha_ref,0.18
251,0.5429365634918213,alpha,0.108
252,0.5533521175384521,x_ref,2.576
253,0.5533521175384521,x,2.216
254,0.5533521175384521,z_ref,7.208
255,0.5533521175384521,z,5.936
256,0.5533521175384521,alpha_ref,0.18
257,0.5533521175384521,alpha,0.108
258,0.5820863246917725,x_ref,2.576
259,0.5820863246917725,x,2.704
260,0.5820863246917725,z_ref,7.208
261,0.5820863246917725,z,7.248
262,0.5820863246917725,alpha_ref,0.18
263,0.5820863246917725,alpha,0.144
264,0.592822790145874,x_ref,2.824
265,0.592822790145874,x,2.704
266,0.592822790145874,z_ref,7.208
267,0.592822790145874,z,7.248
268,0.592822790145874,alpha_ref,0.18
269,0.592822790145874,alpha,0.144
270,0.6018517017364502,x_ref,2.824
271,0.6018517017364502,x,2.704
272,0.6018517017364502,z_ref,7.208
273,0.6018517017364502,z,7.248
274,0.6018517017364502,alpha_ref,0.18
275,0.6018517017364502,alpha,0.144
276,0.6124904155731201,x_ref,2.824
277,0.6124904155731201,x,2.704
278,0.6124904155731201,z_ref,7.872
279,0.6124904155731201,z,7.248
280,0.6124904155731201,alpha_ref,0.18
281,0.6124904155731201,alpha,0.144
282,0.6224210262298584,x_ref,2.824
283,0.6224210262298584,x,2.704
284,0.6224210262298584,z_ref,7.872
285,0.6224210262298584,z,7.248
286,0.6224210262298584,alpha_ref,0.18
287,0.6224210262298584,alpha,0.144
288,0.6327619552612305,x_ref,3.072
289,0.6327619552612305,x,2.704
290,0.6327619552612305,z_ref,7.872
291,0.6327619552612305,z,7.248
292,0.6327619552612305,alpha_ref,0.18
293,0.6327619552612305,alpha,0.144
294,0.6501684188842773,x_ref,3.072
295,0.6501684188842773,x,2.704
296,0.6501684188842773,z_ref,7.872
297,0.6501684188842773,z,7.248
298,0.6501684188842773,alpha_ref,0.18
299,0.6501684188842773,alpha,0.144
300,0.655930757522583,x_ref,3.072
301,0.655930757522583,x,2.704
302,0.655930757522583,z_ref,8.552
303,0.655930757522583,z,7.248
304,0.655930757522583,alpha_ref,0.18
305,0.655930757522583,alpha,0.144
306,0.6785764694213867,x_ref,3.072
307,0.6785764694213867,x,3.208
308,0.6785764694213867,z_ref,8.552
309,0.6785764694213867,z,7.248
310,0.6785764694213867,alpha_ref,0.18
311,0.6785764694213867,alpha,0.18
312,0.6862924098968506,x_ref,3.32
313,0.6862924098968506,x,3.208
314,0.6862924098968506,z_ref,8.552
315,0.6862924098968506,z,8.6
316,0.6862924098968506,alpha_ref,0.18
317,0.6862924098968506,alpha,0.18
318,0.6943399906158447,x_ref,3.32
319,0.6943399906158447,x,3.208
320,0.6943399906158447,z_ref,8.552
321,0.6943399906158447,z,8.6
322,0.6943399906158447,alpha_ref,0.216
323,0.6943399906158447,alpha,0.18
324,0.7035672664642334,x_ref,3.32
325,0.7035672664642334,x,3.208
326,0.7035672664642334,z_ref,8.552
327,0.7035672664642334,z,8.6
328,0.7035672664642334,alpha_ref,0.216
329,0.7035672664642334,alpha,0.18
330,0.7137959003448486,x_ref,3.32
331,0.7137959003448486,x,3.208
332,0.7137959003448486,z_ref,9.224
333,0.7137959003448486,z,8.6
334,0.7137959003448486,alpha_ref,0.216
335,0.7137959003448486,alpha,0.18
336,0.7242212295532227,x_ref,3.32
337,0.7242212295532227,x,3.208
338,0.7242212295532227,z_ref,9.224
