,time,signal,value
0,0.0,x_ref,0.048
1,0.0,x,0.0
2,0.0,z_ref,0.064
3,0.0,z,0.0
4,0.0,alpha_ref,0.144
5,0.0,alpha,0.0
6,0.004918575286865234,x_ref,0.048
7,0.004918575286865234,x,0.0
8,0.004918575286865234,z_ref,0.064
9,0.004918575286865234,z,0.0
10,0.004918575286865234,alpha_ref,0.144
11,0.004918575286865234,alpha,0.0
12,0.015197038650512695,x_ref,0.048
13,0.015197038650512695,x,0.0
14,0.015197038650512695,z_ref,0.064
15,0.015197038650512695,z,0.0
16,0.015197038650512695,alpha_ref,0.144
17,0.015197038650512695,alpha,0.0
18,0.025127172470092773,x_ref,0.048
19,0.025127172470092773,x,0.0
20,0.025127172470092773,z_ref,0.064
21,0.025127172470092773,z,0.0
22,0.025127172470092773,alpha_ref,0.144
23,0.025127172470092773,alpha,0.0
24,0.03516101837158203,x_ref,0.048
25,0.03516101837158203,x,0.0
26,0.03516101837158203,z_ref,0.064
27,0.03516101837158203,z,0.0
28,0.03516101837158203,alpha_ref,0.144
29,0.03516101837158203,alpha,0.0
30,0.04770231246948242,x_ref,1.52
31,0.04770231246948242,x,0.0
32,0.04770231246948242,z_ref,1.544
33,0.04770231246948242,z,0.0
34,0.04770231246948242,alpha_ref,6.768
35,0.04770231246948242,alpha,0.0
36,0.07259392738342285,x_ref,1.52
37,0.07259392738342285,x,1.304
38,0.07259392738342285,z_ref,1.544
39,0.07259392738342285,z,1.312
40,0.07259392738342285,alpha_ref,6.768
41,0.07259392738342285,alpha,7.164
42,0.08306884765625,x_ref,1.52
43,0.08306884765625,x,1.304
44,0.08306884765625,z_ref,1.544
45,0.08306884765625,z,1.312
46,0.08306884765625,alpha_ref,6.768
47,0.08306884765625,alpha,7.164
48,0.09327030181884766,x_ref,3.04
49,0.09327030181884766,x,1.304
50,0.09327030181884766,z_ref,3.056
51,0.09327030181884766,z,1.312
52,0.09327030181884766,alpha_ref,13.608
53,0.09327030181884766,alpha,7.164
54,0.10770487785339355,x_ref,3.04
55,0.10770487785339355,x,1.304
56,0.10770487785339355,z_ref,3.056
57,0.10770487785339355,z,1.312
58,0.10770487785339355,alpha_ref,13.608
59,0.10770487785339355,alpha,7.164
60,0.11280941963195801,x_ref,3.04
61,0.11280941963195801,x,1.304
62,0.11280941963195801,z_ref,3.056
63,0.11280941963195801,z,1.312
64,0.11280941963195801,alpha_ref,13.608
65,0.11280941963195801,alpha,7.164
66,0.12354516983032227,x_ref,3.04
67,0.12354516983032227,x,1.304
68,0.12354516983032227,z_ref,3.056
69,0.12354516983032227,z,1.312
70,0.12354516983032227,alpha_ref,13.608
71,0.12354516983032227,alpha,7.164
72,0.1334986686706543,x_ref,3.04
73,0.1334986686706543,x,1.304
74,0.1334986686706543,z_ref,3.056
75,0.1334986686706543,z,1.312
76,0.1334986686706543,alpha_ref,13.608
77,0.1334986686706543,alpha,7.164
78,0.14662384986877441,x_ref,4.568
79,0.14662384986877441,x,1.304
80,0.14662384986877441,z_ref,4.592
81,0.14662384986877441,z,1.312
82,0.14662384986877441,alpha_ref,20.448
83,0.14662384986877441,alpha,7.164
84,0.17372894287109375,x_ref,4.568
85,0.17372894287109375,x,4.704
86,0.17372894287109375,z_ref,4.592
87,0.17372894287109375,z,4.68
88,0.17372894287109375,alpha_ref,20.448
89,0.17372894287109375,alpha,20.268
90,0.18456792831420898,x_ref,4.568
91,0.18456792831420898,x,4.704
92,0.18456792831420898,z_ref,4.592
93,0.18456792831420898,z,4.68
94,0.18456792831420898,alpha_ref,20.448
95,0.18456792831420898,alpha,20.268
96,0.19865083694458008,x_ref,6.088
97,0.19865083694458008,x,4.704
98,0.19865083694458008,z_ref,6.112
99,0.19865083694458008,z,4.68
100,0.19865083694458008,alpha_ref,27.252
101,0.19865083694458008,alpha,20.268
102,0.20634150505065918,x_ref,6.088
103,0.20634150505065918,x,4.704
104,0.20634150505065918,z_ref,6.112
105,0.20634150505065918,z,4.68
106,0.20634150505065918,alpha_ref,27.252
107,0.20634150505065918,alpha,20.268
108,0.21433663368225098,x_ref,6.088
109,0.21433663368225098,x,4.704
110,0.21433663368225098,z_ref,6.112
111,0.21433663368225098,z,4.68
112,0.21433663368225098,alpha_ref,27.252
113,0.21433663368225098,alpha,20.268
114,0.2244584560394287,x_ref,6.088
115,0.2244584560394287,x,4.704
116,0.2244584560394287,z_ref,6.112
117,0.2244584560394287,z,4.68
118,0.2244584560394287,alpha_ref,27.252
119,0.2244584560394287,alpha,20.268
120,0.23430180549621582,x_ref,6.088
121,0.23430180549621582,x,4.704
122,0.23430180549621582,z_ref,6.112
123,0.23430180549621582,z,4.68
124,0.23430180549621582,alpha_ref,27.252
125,0.23430180549621582,alpha,20.268
126,0.25244855880737305,x_ref,7.608
127,0.25244855880737305,x,4.704
128,0.25244855880737305,z_ref,7.64
129,0.25244855880737305,z,7.512
130,0.25244855880737305,alpha_ref,34.092
131,0.25244855880737305,alpha,20.268
132,0.27234792709350586,x_ref,7.608
133,0.27234792709350586,x,7.536
134,0.27234792709350586,z_ref,7.64
135,0.27234792709350586,z,7.512
136,0.27234792709350586,alpha_ref,34.092
137,0.27234792709350586,alpha,33.3
138,0.2835276126861572,x_ref,7.608
139,0.2835276126861572,x,7.536
