,time,signal,value
0,0.0,x_ref,0.048
1,0.0,x,0.0
2,0.0,z_ref,0.048
3,0.0,z,0.0
4,0.0,alpha_ref,0.144
5,0.0,alpha,0.0
6,0.0071048736572265625,x_ref,0.048
7,0.0071048736572265625,x,0.0
8,0.0071048736572265625,z_ref,0.048
9,0.0071048736572265625,z,0.0
10,0.0071048736572265625,alpha_ref,0.144
11,0.0071048736572265625,alpha,0.0
12,0.013319015502929688,x_ref,0.048
13,0.013319015502929688,x,0.0
14,0.013319015502929688,z_ref,0.048
15,0.013319015502929688,z,0.0
16,0.013319015502929688,alpha_ref,0.144
17,0.013319015502929688,alpha,0.0
18,0.02279067039489746,x_ref,0.048
19,0.02279067039489746,x,0.0
20,0.02279067039489746,z_ref,0.048
21,0.02279067039489746,z,0.0
22,0.02279067039489746,alpha_ref,0.144
23,0.02279067039489746,alpha,0.0
24,0.04612231254577637,x_ref,0.048
25,0.04612231254577637,x,0.0
26,0.04612231254577637,z_ref,0.048
27,0.04612231254577637,z,0.0
28,0.04612231254577637,alpha_ref,0.144
29,0.04612231254577637,alpha,3.492
30,0.05916857719421387,x_ref,1.648
31,0.05916857719421387,x,0.784
32,0.05916857719421387,z_ref,1.744
33,0.05916857719421387,z,0.968
34,0.05916857719421387,alpha_ref,7.704
35,0.05916857719421387,alpha,3.492
36,0.069549560546875,x_ref,1.648
37,0.069549560546875,x,0.784
38,0.069549560546875,z_ref,1.744
39,0.069549560546875,z,0.968
40,0.069549560546875,alpha_ref,7.704
41,0.069549560546875,alpha,3.492
42,0.07968425750732422,x_ref,1.648
43,0.07968425750732422,x,0.784
44,0.07968425750732422,z_ref,1.744
45,0.07968425750732422,z,0.968
46,0.07968425750732422,alpha_ref,7.704
47,0.07968425750732422,alpha,3.492
48,0.09042572975158691,x_ref,1.648
49,0.09042572975158691,x,0.784
50,0.09042572975158691,z_ref,1.744
51,0.09042572975158691,z,0.968
52,0.09042572975158691,alpha_ref,7.704
53,0.09042572975158691,alpha,3.492
54,0.10116171836853027,x_ref,3.16
55,0.10116171836853027,x,0.784
56,0.10116171836853027,z_ref,3.312
57,0.10116171836853027,z,0.968
58,0.10116171836853027,alpha_ref,14.76
59,0.10116171836853027,alpha,3.492
60,0.11352109909057617,x_ref,3.16
61,0.11352109909057617,x,0.784
62,0.11352109909057617,z_ref,3.312
63,0.11352109909057617,z,0.968
64,0.11352109909057617,alpha_ref,14.76
65,0.11352109909057617,alpha,3.492
66,0.11947321891784668,x_ref,3.16
67,0.11947321891784668,x,0.784
68,0.11947321891784668,z_ref,3.312
69,0.11947321891784668,z,0.968
70,0.11947321891784668,alpha_ref,14.76
71,0.11947321891784668,alpha,3.492
72,0.13507580757141113,x_ref,3.16
73,0.13507580757141113,x,0.784
74,0.13507580757141113,z_ref,3.312
75,0.13507580757141113,z,0.968
76,0.13507580757141113,alpha_ref,14.76
77,0.13507580757141113,alpha,17.64
78,0.15817523002624512,x_ref,4.72
79,0.15817523002624512,x,4.136
80,0.15817523002624512,z_ref,4.912
81,0.15817523002624512,z,4.4
82,0.15817523002624512,alpha_ref,21.708
83,0.15817523002624512,alpha,17.64
84,0.1686403751373291,x_ref,4.72
85,0.1686403751373291,x,4.136
86,0.1686403751373291,z_ref,4.912
87,0.1686403751373291,z,4.4
88,0.1686403751373291,alpha_ref,21.708
89,0.1686403751373291,alpha,17.64
90,0.17832064628601074,x_ref,4.72
91,0.17832064628601074,x,4.136
92,0.17832064628601074,z_ref,4.912
93,0.17832064628601074,z,4.4
94,0.17832064628601074,alpha_ref,21.708
95,0.17832064628601074,alpha,17.64
96,0.18858671188354492,x_ref,4.72
97,0.18858671188354492,x,4.136
98,0.18858671188354492,z_ref,4.912
99,0.18858671188354492,z,4.4
100,0.18858671188354492,alpha_ref,21.708
101,0.18858671188354492,alpha,17.64
102,0.19834303855895996,x_ref,6.24
103,0.19834303855895996,x,4.136
104,0.19834303855895996,z_ref,4.912
105,0.19834303855895996,z,4.4
106,0.19834303855895996,alpha_ref,21.708
107,0.19834303855895996,alpha,17.64
108,0.21378064155578613,x_ref,6.24
109,0.21378064155578613,x,4.136
110,0.21378064155578613,z_ref,6.448
111,0.21378064155578613,z,4.4
112,0.21378064155578613,alpha_ref,28.8
113,0.21378064155578613,alpha,17.64
114,0.2188112735748291,x_ref,6.24
115,0.2188112735748291,x,4.136
116,0.2188112735748291,z_ref,6.448
117,0.2188112735748291,z,4.4
118,0.2188112735748291,alpha_ref,28.8
119,0.2188112735748291,alpha,17.64
120,0.23967862129211426,x_ref,6.24
121,0.23967862129211426,x,7.056
122,0.23967862129211426,z_ref,6.448
123,0.23967862129211426,z,4.4
124,0.23967862129211426,alpha_ref,28.8
125,0.23967862129211426,alpha,17.64
126,0.2501561641693115,x_ref,6.24
127,0.2501561641693115,x,7.056
128,0.2501561641693115,z_ref,6.448
129,0.2501561641693115,z,7.568
130,0.2501561641693115,alpha_ref,28.8
131,0.2501561641693115,alpha,30.96
132,0.26236987113952637,x_ref,7.824
133,0.26236987113952637,x,7.056
134,0.26236987113952637,z_ref,8.016
135,0.26236987113952637,z,7.568
136,0.26236987113952637,alpha_ref,35.82
137,0.26236987113952637,alpha,30.96
138,0.27077794075012207,x_ref,7.824
139,0.27077794075012207,x,7.056
