,time,signal,value
0,0.0,x_ref,0.0
1,0.0,x,0.0
2,0.0,z_ref,0.008
3,0.0,z,0.0
4,0.0,alpha_ref,0.0
5,0.0,alpha,0.0
6,0.004519939422607422,x_ref,0.0
7,0.004519939422607422,x,0.0
8,0.004519939422607422,z_ref,0.008
9,0.004519939422607422,z,0.0
10,0.004519939422607422,alpha_ref,0.0
11,0.004519939422607422,alpha,0.0
12,0.011391878128051758,x_ref,0.0
13,0.011391878128051758,x,0.0
14,0.011391878128051758,z_ref,0.008
15,0.011391878128051758,z,0.0
16,0.011391878128051758,alpha_ref,0.0
17,0.011391878128051758,alpha,0.0
18,0.020894527435302734,x_ref,0.0
19,0.020894527435302734,x,0.0
20,0.020894527435302734,z_ref,0.008
21,0.020894527435302734,z,0.0
22,0.020894527435302734,alpha_ref,0.0
23,0.020894527435302734,alpha,0.0
24,0.031112194061279297,x_ref,0.0
25,0.031112194061279297,x,0.0
26,0.031112194061279297,z_ref,0.008
27,0.031112194061279297,z,0.0
28,0.031112194061279297,alpha_ref,0.0
29,0.031112194061279297,alpha,0.0
30,0.0412592887878418,x_ref,0.072
31,0.0412592887878418,x,0.0
32,0.0412592887878418,z_ref,0.008
33,0.0412592887878418,z,0.0
34,0.0412592887878418,alpha_ref,0.0
35,0.0412592887878418,alpha,0.0
36,0.05631685256958008,x_ref,0.072
37,0.05631685256958008,x,0.0
38,0.05631685256958008,z_ref,0.208
39,0.05631685256958008,z,0.0
40,0.05631685256958008,alpha_ref,0.0
41,0.05631685256958008,alpha,0.0
42,0.06302642822265625,x_ref,0.072
43,0.06302642822265625,x,0.0
44,0.06302642822265625,z_ref,0.208
45,0.06302642822265625,z,0.0
46,0.06302642822265625,alpha_ref,0.0
47,0.06302642822265625,alpha,0.0
48,0.09083199501037598,x_ref,0.072
49,0.09083199501037598,x,0.592
50,0.09083199501037598,z_ref,0.208
51,0.09083199501037598,z,0.448
52,0.09083199501037598,alpha_ref,0.0
53,0.09083199501037598,alpha,0.0
54,0.10702204704284668,x_ref,0.28
55,0.10702204704284668,x,0.592
56,0.10702204704284668,z_ref,0.768
57,0.10702204704284668,z,0.448
58,0.10702204704284668,alpha_ref,0.0
59,0.10702204704284668,alpha,0.0
60,0.1172640323638916,x_ref,0.28
61,0.1172640323638916,x,0.592
62,0.1172640323638916,z_ref,0.768
63,0.1172640323638916,z,0.448
64,0.1172640323638916,alpha_ref,0.0
65,0.1172640323638916,alpha,0.0
66,0.12745881080627441,x_ref,0.28
67,0.12745881080627441,x,0.592
68,0.12745881080627441,z_ref,0.768
69,0.12745881080627441,z,0.448
70,0.12745881080627441,alpha_ref,0.0
71,0.12745881080627441,alpha,0.0
72,0.13724303245544434,x_ref,0.28
73,0.13724303245544434,x,0.592
74,0.13724303245544434,z_ref,0.768
75,0.13724303245544434,z,0.448
76,0.13724303245544434,alpha_ref,0.0
77,0.13724303245544434,alpha,0.0
78,0.15240764617919922,x_ref,0.528
79,0.15240764617919922,x,0.592
80,0.15240764617919922,z_ref,1.432
81,0.15240764617919922,z,0.448
82,0.15240764617919922,alpha_ref,0.036
83,0.15240764617919922,alpha,0.0
84,0.15768933296203613,x_ref,0.528
85,0.15768933296203613,x,0.592
86,0.15768933296203613,z_ref,1.432
87,0.15768933296203613,z,0.448
88,0.15768933296203613,alpha_ref,0.036
89,0.15768933296203613,alpha,0.0
90,0.1676621437072754,x_ref,0.528
91,0.1676621437072754,x,0.592
92,0.1676621437072754,z_ref,1.432
93,0.1676621437072754,z,0.448
94,0.1676621437072754,alpha_ref,0.036
95,0.1676621437072754,alpha,0.0
96,0.19444823265075684,x_ref,0.776
97,0.19444823265075684,x,0.664
98,0.19444823265075684,z_ref,1.432
99,0.19444823265075684,z,1.784
100,0.19444823265075684,alpha_ref,0.036
101,0.19444823265075684,alpha,0.036
102,0.2188875675201416,x_ref,0.776
103,0.2188875675201416,x,0.664
104,0.2188875675201416,z_ref,2.096
105,0.2188875675201416,z,1.784
106,0.2188875675201416,alpha_ref,0.036
107,0.2188875675201416,alpha,0.036
108,0.22967839241027832,x_ref,0.776
109,0.22967839241027832,x,0.664
110,0.22967839241027832,z_ref,2.096
111,0.22967839241027832,z,1.784
112,0.22967839241027832,alpha_ref,0.036
113,0.22967839241027832,alpha,0.036
114,0.23891234397888184,x_ref,0.776
115,0.23891234397888184,x,0.664
116,0.23891234397888184,z_ref,2.096
117,0.23891234397888184,z,1.784
118,0.23891234397888184,alpha_ref,0.036
119,0.23891234397888184,alpha,0.036
120,0.26112937927246094,x_ref,1.032
121,0.26112937927246094,x,0.664
122,0.26112937927246094,z_ref,2.776
123,0.26112937927246094,z,1.784
124,0.26112937927246094,alpha_ref,0.072
125,0.26112937927246094,alpha,0.036
126,0.3164806365966797,x_ref,1.288
127,0.3164806365966797,x,1.128
128,0.3164806365966797,z_ref,3.44
129,0.3164806365966797,z,2.968
130,0.3164806365966797,alpha_ref,0.072
131,0.3164806365966797,alpha,0.036
132,0.3270280361175537,x_ref,1.288
133,0.3270280361175537,x,1.128
134,0.3270280361175537,z_ref,3.44
135,0.3270280361175537,z,2.968
136,0.3270280361175537,alpha_ref,0.072
137,0.3270280361175537,alpha,0.036
138,0.3375556468963623,x_ref,1.288
139,0.3375556468963623,x,1.128
140,0.3375556468963623,z_ref,3.44
141,0.3375556468963623,z,2.968
142,0.3375556468963623,alpha_ref,0.072
143,0.3375556468963623,alpha,0.036
144,0.3474721908569336,x_ref,1.288
145,0.3474721908569336,x,1.128
146,0.3474721908569336,z_ref,4.096
147,0.3474721908569336,z,2.968
148,0.3474721908569336,alpha_ref,0.072
149,0.3474721908569336,alpha,0.036
150,0.3690526485443115,x_ref,1.528
151,0.3690526485443115,x,1.128
152,0.3690526485443115,z_ref,4.096
153,0.3690526485443115,z,2.968
154,0.3690526485443115,alpha_ref,0.108
155,0.3690526485443115,alpha,0.036
156,0.3978855609893799,x_ref,1.528
157,0.3978855609893799,x,1.6
158,0.3978855609893799,z_ref,4.096
159,0.3978855609893799,z,4.328
160,0.3978855609893799,alpha_ref,0.108
161,0.3978855609893799,alpha,0.072
162,0.41033077239990234,x_ref,1.792
163,0.41033077239990234,x,1.6
164,0.41033077239990234,z_ref,4.8
165,0.41033077239990234,z,4.328
166,0.41033077239990234,alpha_ref,0.108
167,0.41033077239990234,alpha,0.072
168,0.418137788772583,x_ref,1.792
169,0.418137788772583,x,1.6
170,0.418137788772583,z_ref,4.8
171,0.418137788772583,z,4.328
172,0.418137788772583,alpha_ref,0.108
173,0.418137788772583,alpha,0.072
174,0.42857837677001953,x_ref,1.792
175,0.42857837677001953,x,1.6
176,0.42857837677001953,z_ref,4.8
177,0.42857837677001953,z,4.328
178,0.42857837677001953,alpha_ref,0.108
179,0.42857837677001953,alpha,0.072
180,0.43851280212402344,x_ref,1.792
181,0.43851280212402344,x,1.6
182,0.43851280212402344,z_ref,4.8
183,0.43851280212402344,z,4.328
184,0.43851280212402344,alpha_ref,0.108
185,0.43851280212402344,alpha,0.072
186,0.44852709770202637,x_ref,1.792
187,0.44852709770202637,x,1.6
188,0.44852709770202637,z_ref,4.8
189,0.44852709770202637,z,4.328
190,0.44852709770202637,alpha_ref,0.108
191,0.44852709770202637,alpha,0.072
192,0.464937686920166,x_ref,2.032
193,0.464937686920166,x,1.6
194,0.464937686920166,z_ref,5.472
195,0.464937686920166,z,4.328
196,0.464937686920166,alpha_ref,0.144
197,0.464937686920166,alpha,0.072
198,0.4924588203430176,x_ref,2.032
199,0.4924588203430176,x,2.096
200,0.4924588203430176,z_ref,5.472
201,0.4924588203430176,z,5.616
202,0.4924588203430176,alpha_ref,0.144
203,0.4924588203430176,alpha,0.108
204,0.5098140239715576,x_ref,2.28
205,0.5098140239715576,x,2.096
206,0.5098140239715576,z_ref,6.136
207,0.5098140239715576,z,5.616
208,0.5098140239715576,alpha_ref,0.144
209,0.5098140239715576,alpha,0.108
210,0.5149438381195068,x_ref,2.28
211,0.5149438381195068,x,2.096
212,0.5149438381195068,z_ref,6.136
213,0.5149438381195068,z,5.616
214,0.5149438381195068,alpha_ref,0.144
215,0.5149438381195068,alpha,0.108
216,0.523524284362793,x_ref,2.28
217,0.523524284362793,x,2.096
218,0.523524284362793,z_ref,6.136
219,0.523524284362793,z,5.616
220,0.523524284362793,alpha_ref,0.144
221,0.523524284362793,alpha,0.108
222,0.5331714153289795,x_ref,2.28
223,0.5331714153289795,x,2.096
224,0.5331714153289795,z_ref,6.136
225,0.5331714153289795,z,5.616
226,0.5331714153289795,alpha_ref,0.144
227,0.5331714153289795,alpha,0.108
228,0.542536735534668,x_ref,2.28
229,0.542536735534668,x,2.096
230,0.542536735534668,z_ref,6.136
231,0.542536735534668,z,5.616
232,0.542536735534668,alpha_ref,0.144
233,0.542536735534668,alpha,0.108
234,0.5533466339111328,x_ref,2.528
235,0.5533466339111328,x,2.096
236,0.5533466339111328,z_ref,6.792
237,0.5533466339111328,z,5.616
238,0.5533466339111328,alpha_ref,0.144
239,0.5533466339111328,alpha,0.108
240,0.5790951251983643,x_ref,2.528
241,0.5790951251983643,x,2.592
242,0.5790951251983643,z_ref,6.792
243,0.5790951251983643,z,5.616
244,0.5790951251983643,alpha_ref,0.144
245,0.5790951251983643,alpha,0.108
246,0.5945987701416016,x_ref,2.528
247,0.5945987701416016,x,2.592
248,0.5945987701416016,z_ref,6.792
249,0.5945987701416016,z,6.968
250,0.5945987701416016,alpha_ref,0.144
251,0.5945987701416016,alpha,0.144
252,0.6107273101806641,x_ref,2.768
253,0.6107273101806641,x,2.592
254,0.6107273101806641,z_ref,7.448
255,0.6107273101806641,z,6.968
256,0.6107273101806641,alpha_ref,0.18
257,0.6107273101806641,alpha,0.144
258,0.6164853572845459,x_ref,2.768
259,0.6164853572845459,x,2.592
260,0.6164853572845459,z_ref,7.448
261,0.6164853572845459,z,6.968
262,0.6164853572845459,alpha_ref,0.18
263,0.6164853572845459,alpha,0.144
264,0.6250631809234619,x_ref,2.768
265,0.6250631809234619,x,2.592
266,0.6250631809234619,z_ref,7.448
267,0.6250631809234619,z,6.968
268,0.6250631809234619,alpha_ref,0.18
269,0.6250631809234619,alpha,0.144
270,0.6355230808258057,x_ref,2.768
271,0.6355230808258057,x,2.592
272,0.6355230808258057,z_ref,7.448
273,0.6355230808258057,z,6.968
274,0.6355230808258057,alpha_ref,0.18
275,0.6355230808258057,alpha,0.144
276,0.6455550193786621,x_ref,2.768
277,0.6455550193786621,x,2.592
278,0.6455550193786621,z_ref,7.448
279,0.6455550193786621,z,6.968
280,0.6455550193786621,alpha_ref,0.18
281,0.6455550193786621,alpha,0.144
282,0.6612231731414795,x_ref,3.024
283,0.6612231731414795,x,2.592
284,0.6612231731414795,z_ref,8.12
285,0.6612231731414795,z,6.968
286,0.6612231731414795,alpha_ref,0.18
287,0.6612231731414795,alpha,0.144
288,0.688042402267456,x_ref,3.024
289,0.688042402267456,x,3.08
290,0.688042402267456,z_ref,8.12
291,0.688042402267456,z,8.296
292,0.688042402267456,alpha_ref,0.18
293,0.688042402267456,alpha,0.18
294,0.6991183757781982,x_ref,3.024
295,0.6991183757781982,x,3.08
296,0.6991183757781982,z_ref,8.12
297,0.6991183757781982,z,8.296
298,0.6991183757781982,alpha_ref,0.18
299,0.6991183757781982,alpha,0.18
300,0.7156240940093994,x_ref,3.264
301,0.7156240940093994,x,3.08
302,0.7156240940093994,z_ref,8.864
303,0.7156240940093994,z,8.296
304,0.7156240940093994,alpha_ref,0.216
305,0.7156240940093994,alpha,0.18
306,0.7223544120788574,x_ref,3.264
307,0.7223544120788574,x,3.08
308,0.7223544120788574,z_ref,8.864
309,0.7223544120788574,z,8.296
310,0.7223544120788574,alpha_ref,0.216
311,0.7223544120788574,alpha,0.18
312,0.7285187244415283,x_ref,3.264
313,0.7285187244415283,x,3.08
314,0.7285187244415283,z_ref,8.864
315,0.7285187244415283,z,8.296
316,0.7285187244415283,alpha_ref,0.216
317,0.7285187244415283,alpha,0.18
318,0.7390449047088623,x_ref,3.264
319,0.7390449047088623,x,3.08
320,0.7390449047088623,z_ref,8.864
321,0.7390449047088623,z,8.296
322,0.7390449047088623,alpha_ref,0.216
323,0.7390449047088623,alpha,0.18
324,0.7493066787719727,x_ref,3.264
325,0.7493066787719727,x,3.08
326,0.7493066787719727,z_ref,8.864
327,0.7493066787719727,z,8.296
328,0.7493066787719727,alpha_ref,0.216
329,0.7493066787719727,alpha,0.18
330,0.7610831260681152,x_ref,3.512
331,0.7610831260681152,x,3.08
332,0.7610831260681152,z_ref,8.864
333,0.7610831260681152,z,8.296
334,0.7610831260681152,alpha_ref,0.216
335,0.7610831260681152,alpha,0.18
336,0.7869486808776855,x_ref,3.512
337,0.7869486808776855,x,3.584
338,0.7869486808776855,z_ref,9.568
