,time,signal,value
0,0.0,x_ref,0.0
1,0.0,x,0.0
2,0.0,z_ref,86.704
3,0.0,z,86.704
4,0.0,alpha_ref,0.0
5,0.0,alpha,0.0
6,0.0,vel_ref_x,211.0
7,0.0,vel_ref_z,0.0
8,0.0,vel_ref_alpha,0.0
9,0.005608797073364258,x_ref,0.0
10,0.005608797073364258,x,0.0
11,0.005608797073364258,z_ref,86.704
12,0.005608797073364258,z,86.704
13,0.005608797073364258,alpha_ref,0.0
14,0.005608797073364258,alpha,0.0
15,0.005608797073364258,vel_ref_x,211.0
16,0.005608797073364258,vel_ref_z,0.0
17,0.005608797073364258,vel_ref_alpha,0.0
18,0.015349388122558594,x_ref,0.0
19,0.015349388122558594,x,0.0
20,0.015349388122558594,z_ref,86.704
21,0.015349388122558594,z,86.704
22,0.015349388122558594,alpha_ref,0.0
23,0.015349388122558594,alpha,0.0
24,0.015349388122558594,vel_ref_x,211.0
25,0.015349388122558594,vel_ref_z,0.0
26,0.015349388122558594,vel_ref_alpha,0.0
27,0.02537059783935547,x_ref,0.0
28,0.02537059783935547,x,0.0
29,0.02537059783935547,z_ref,86.704
30,0.02537059783935547,z,86.704
31,0.02537059783935547,alpha_ref,0.0
32,0.02537059783935547,alpha,0.0
33,0.02537059783935547,vel_ref_x,211.0
34,0.02537059783935547,vel_ref_z,0.0
35,0.02537059783935547,vel_ref_alpha,0.0
36,0.03537797927856445,x_ref,0.0
37,0.03537797927856445,x,0.0
38,0.03537797927856445,z_ref,86.704
39,0.03537797927856445,z,86.704
40,0.03537797927856445,alpha_ref,0.0
41,0.03537797927856445,alpha,0.0
42,0.03537797927856445,vel_ref_x,211.0
43,0.03537797927856445,vel_ref_z,0.0
44,0.03537797927856445,vel_ref_alpha,0.0
45,0.04654431343078613,x_ref,0.136
46,0.04654431343078613,x,0.0
47,0.04654431343078613,z_ref,86.704
48,0.04654431343078613,z,86.704
49,0.04654431343078613,alpha_ref,0.0
50,0.04654431343078613,alpha,0.0
51,0.04654431343078613,vel_ref_x,647.0
52,0.04654431343078613,vel_ref_z,0.0
53,0.04654431343078613,vel_ref_alpha,0.0
54,0.07627201080322266,x_ref,0.136
55,0.07627201080322266,x,1.456
56,0.07627201080322266,z_ref,86.704
57,0.07627201080322266,z,86.704
58,0.07627201080322266,alpha_ref,0.0
59,0.07627201080322266,alpha,0.0
60,0.07627201080322266,vel_ref_x,647.0
61,0.07627201080322266,vel_ref_z,0.0
62,0.07627201080322266,vel_ref_alpha,0.0
63,0.08703207969665527,x_ref,0.136
64,0.08703207969665527,x,1.456
65,0.08703207969665527,z_ref,86.704
66,0.08703207969665527,z,86.704
67,0.08703207969665527,alpha_ref,0.0
68,0.08703207969665527,alpha,0.0
69,0.08703207969665527,vel_ref_x,647.0
70,0.08703207969665527,vel_ref_z,0.0
71,0.08703207969665527,vel_ref_alpha,0.0
72,0.10179877281188965,x_ref,0.4
73,0.10179877281188965,x,1.456
74,0.10179877281188965,z_ref,86.704
75,0.10179877281188965,z,86.704
76,0.10179877281188965,alpha_ref,0.0
77,0.10179877281188965,alpha,0.0
78,0.10179877281188965,vel_ref_x,660.0
79,0.10179877281188965,vel_ref_z,0.0
80,0.10179877281188965,vel_ref_alpha,0.0
81,0.10762548446655273,x_ref,0.4
82,0.10762548446655273,x,1.456
83,0.10762548446655273,z_ref,86.704
84,0.10762548446655273,z,86.704
85,0.10762548446655273,alpha_ref,0.0
86,0.10762548446655273,alpha,0.0
87,0.10762548446655273,vel_ref_x,660.0
88,0.10762548446655273,vel_ref_z,0.0
89,0.10762548446655273,vel_ref_alpha,0.0
90,0.11746454238891602,x_ref,0.4
91,0.11746454238891602,x,1.456
92,0.11746454238891602,z_ref,86.704
93,0.11746454238891602,z,86.704
94,0.11746454238891602,alpha_ref,0.0
95,0.11746454238891602,alpha,0.0
96,0.11746454238891602,vel_ref_x,660.0
97,0.11746454238891602,vel_ref_z,0.0
98,0.11746454238891602,vel_ref_alpha,0.0
99,0.12668108940124512,x_ref,0.4
100,0.12668108940124512,x,1.456
101,0.12668108940124512,z_ref,86.704
102,0.12668108940124512,z,86.704
103,0.12668108940124512,alpha_ref,0.0
104,0.12668108940124512,alpha,0.0
105,0.12668108940124512,vel_ref_x,660.0
106,0.12668108940124512,vel_ref_z,0.0
107,0.12668108940124512,vel_ref_alpha,0.0
108,0.13711166381835938,x_ref,0.4
109,0.13711166381835938,x,1.456
110,0.13711166381835938,z_ref,86.704
111,0.13711166381835938,z,86.704
112,0.13711166381835938,alpha_ref,0.0
113,0.13711166381835938,alpha,0.0
114,0.13711166381835938,vel_ref_x,660.0
115,0.13711166381835938,vel_ref_z,0.0
116,0.13711166381835938,vel_ref_alpha,0.0
117,0.16954970359802246,x_ref,0.672
118,0.16954970359802246,x,0.744
119,0.16954970359802246,z_ref,86.704
120,0.16954970359802246,z,86.704
121,0.16954970359802246,alpha_ref,0.0
122,0.16954970359802246,alpha,0.0
123,0.16954970359802246,vel_ref_x,660.0
124,0.16954970359802246,vel_ref_z,0.0
125,0.16954970359802246,vel_ref_alpha,0.0
126,0.1802811622619629,x_ref,0.672
127,0.1802811622619629,x,0.744
128,0.1802811622619629,z_ref,86.704
129,0.1802811622619629,z,86.704
130,0.1802811622619629,alpha_ref,0.0
131,0.1802811622619629,alpha,0.0
132,0.1802811622619629,vel_ref_x,660.0
133,0.1802811622619629,vel_ref_z,0.0
134,0.1802811622619629,vel_ref_alpha,0.0
135,0.18965387344360352,x_ref,0.672
136,0.18965387344360352,x,0.744
137,0.18965387344360352,z_ref,86.704
138,0.18965387344360352,z,86.704
139,0.18965387344360352,alpha_ref,0.0
140,0.18965387344360352,alpha,0.0
141,0.18965387344360352,vel_ref_x,660.0
142,0.18965387344360352,vel_ref_z,0.0
143,0.18965387344360352,vel_ref_alpha,0.0
144,0.20498228073120117,x_ref,0.944
145,0.20498228073120117,x,0.744
146,0.20498228073120117,z_ref,86.704
147,0.20498228073120117,z,86.704
148,0.20498228073120117,alpha_ref,0.0
149,0.20498228073120117,alpha,0.0
150,0.20498228073120117,vel_ref_x,660.0
151,0.20498228073120117,vel_ref_z,0.0
152,0.20498228073120117,vel_ref_alpha,0.0
153,0.21015429496765137,x_ref,0.944
154,0.21015429496765137,x,0.744
155,0.21015429496765137,z_ref,86.704
156,0.21015429496765137,z,86.704
157,0.21015429496765137,alpha_ref,0.0
158,0.21015429496765137,alpha,0.0
159,0.21015429496765137,vel_ref_x,660.0
160,0.21015429496765137,vel_ref_z,0.0
161,0.21015429496765137,vel_ref_alpha,0.0
162,0.2196035385131836,x_ref,0.944
163,0.2196035385131836,x,0.744
164,0.2196035385131836,z_ref,86.704
165,0.2196035385131836,z,86.704
166,0.2196035385131836,alpha_ref,0.0
167,0.2196035385131836,alpha,0.0
168,0.2196035385131836,vel_ref_x,660.0
169,0.2196035385131836,vel_ref_z,0.0
170,0.2196035385131836,vel_ref_alpha,0.0
171,0.23046064376831055,x_ref,0.944
172,0.23046064376831055,x,0.744
173,0.23046064376831055,z_ref,86.704
174,0.23046064376831055,z,86.704
175,0.23046064376831055,alpha_ref,0.0
176,0.23046064376831055,alpha,0.0
177,0.23046064376831055,vel_ref_x,660.0
178,0.23046064376831055,vel_ref_z,0.0
179,0.23046064376831055,vel_ref_alpha,0.0
180,0.24030208587646484,x_ref,0.944
181,0.24030208587646484,x,0.744
182,0.24030208587646484,z_ref,86.704
183,0.24030208587646484,z,86.704
184,0.24030208587646484,alpha_ref,0.0
185,0.24030208587646484,alpha,0.0
186,0.24030208587646484,vel_ref_x,660.0
187,0.24030208587646484,vel_ref_z,0.0
188,0.24030208587646484,vel_ref_alpha,0.0
189,0.2732422351837158,x_ref,1.296
190,0.2732422351837158,x,1.24
191,0.2732422351837158,z_ref,86.704
192,0.2732422351837158,z,86.704
193,0.2732422351837158,alpha_ref,0.0
194,0.2732422351837158,alpha,0.0
195,0.2732422351837158,vel_ref_x,660.0
196,0.2732422351837158,vel_ref_z,0.0
197,0.2732422351837158,vel_ref_alpha,0.0
198,0.28386759757995605,x_ref,1.296
199,0.28386759757995605,x,1.24
200,0.28386759757995605,z_ref,86.704
201,0.28386759757995605,z,86.704
202,0.28386759757995605,alpha_ref,0.0
203,0.28386759757995605,alpha,0.0
204,0.28386759757995605,vel_ref_x,660.0
205,0.28386759757995605,vel_ref_z,0.0
206,0.28386759757995605,vel_ref_alpha,0.0
207,0.29434752464294434,x_ref,1.296
208,0.29434752464294434,x,1.24
209,0.29434752464294434,z_ref,86.704
210,0.29434752464294434,z,86.704
211,0.29434752464294434,alpha_ref,0.0
212,0.29434752464294434,alpha,0.0
213,0.29434752464294434,vel_ref_x,660.0
214,0.29434752464294434,vel_ref_z,0.0
215,0.29434752464294434,vel_ref_alpha,0.0
216,0.30526065826416016,x_ref,1.296
217,0.30526065826416016,x,1.24
218,0.30526065826416016,z_ref,86.704
219,0.30526065826416016,z,86.704
220,0.30526065826416016,alpha_ref,0.0
221,0.30526065826416016,alpha,0.0
222,0.30526065826416016,vel_ref_x,660.0
223,0.30526065826416016,vel_ref_z,0.0
224,0.30526065826416016,vel_ref_alpha,0.0
225,0.31612181663513184,x_ref,1.568
226,0.31612181663513184,x,1.24
227,0.31612181663513184,z_ref,86.704
228,0.31612181663513184,z,86.704
229,0.31612181663513184,alpha_ref,0.0
230,0.31612181663513184,alpha,0.0
231,0.31612181663513184,vel_ref_x,660.0
232,0.31612181663513184,vel_ref_z,0.0
233,0.31612181663513184,vel_ref_alpha,0.0
234,0.3243722915649414,x_ref,1.568
235,0.3243722915649414,x,1.24
236,0.3243722915649414,z_ref,86.704
237,0.3243722915649414,z,86.704
238,0.3243722915649414,alpha_ref,0.0
239,0.3243722915649414,alpha,0.0
240,0.3243722915649414,vel_ref_x,660.0
241,0.3243722915649414,vel_ref_z,0.0
242,0.3243722915649414,vel_ref_alpha,0.0
243,0.334244966506958,x_ref,1.568
244,0.334244966506958,x,1.24
245,0.334244966506958,z_ref,86.704
246,0.334244966506958,z,86.704
247,0.334244966506958,alpha_ref,0.0
248,0.334244966506958,alpha,0.0
249,0.334244966506958,vel_ref_x,660.0
250,0.334244966506958,vel_ref_z,0.0
251,0.334244966506958,vel_ref_alpha,0.0
252,0.34874868392944336,x_ref,1.568
253,0.34874868392944336,x,1.24
254,0.34874868392944336,z_ref,86.704
255,0.34874868392944336,z,86.704
256,0.34874868392944336,alpha_ref,0.0
257,0.34874868392944336,alpha,0.0
258,0.34874868392944336,vel_ref_x,660.0
259,0.34874868392944336,vel_ref_z,0.0
260,0.34874868392944336,vel_ref_alpha,0.0
261,0.37529611587524414,x_ref,1.856
262,0.37529611587524414,x,1.768
263,0.37529611587524414,z_ref,86.704
264,0.37529611587524414,z,86.704
265,0.37529611587524414,alpha_ref,0.0
266,0.37529611587524414,alpha,0.0
267,0.37529611587524414,vel_ref_x,660.0
268,0.37529611587524414,vel_ref_z,0.0
269,0.37529611587524414,vel_ref_alpha,0.0
270,0.38611626625061035,x_ref,1.856
271,0.38611626625061035,x,1.768
272,0.38611626625061035,z_ref,86.704
273,0.38611626625061035,z,86.704
274,0.38611626625061035,alpha_ref,0.0
275,0.38611626625061035,alpha,0.0
276,0.38611626625061035,vel_ref_x,660.0
277,0.38611626625061035,vel_ref_z,0.0
278,0.38611626625061035,vel_ref_alpha,0.0
279,0.39653468132019043,x_ref,1.856
280,0.39653468132019043,x,1.768
281,0.39653468132019043,z_ref,86.704
282,0.39653468132019043,z,86.704
283,0.39653468132019043,alpha_ref,0.0
284,0.39653468132019043,alpha,0.0
285,0.39653468132019043,vel_ref_x,660.0
286,0.39653468132019043,vel_ref_z,0.0
287,0.39653468132019043,vel_ref_alpha,0.0
288,0.4063718318939209,x_ref,1.856
289,0.4063718318939209,x,1.768
290,0.4063718318939209,z_ref,86.704
291,0.4063718318939209,z,86.704
292,0.4063718318939209,alpha_ref,0.0
293,0.4063718318939209,alpha,0.0
294,0.4063718318939209,vel_ref_x,660.0
295,0.4063718318939209,vel_ref_z,0.0
296,0.4063718318939209,vel_ref_alpha,0.0
297,0.41535496711730957,x_ref,1.856
298,0.41535496711730957,x,1.768
299,0.41535496711730957,z_ref,86.704
300,0.41535496711730957,z,86.704
301,0.41535496711730957,alpha_ref,0.0
302,0.41535496711730957,alpha,0.0
303,0.41535496711730957,vel_ref_x,660.0
304,0.41535496711730957,vel_ref_z,0.0
305,0.41535496711730957,vel_ref_alpha,0.0
306,0.4278717041015625,x_ref,2.12
307,0.4278717041015625,x,1.768
308,0.4278717041015625,z_ref,86.704
309,0.4278717041015625,z,86.704
310,0.4278717041015625,alpha_ref,0.0
311,0.4278717041015625,alpha,0.0
312,0.4278717041015625,vel_ref_x,660.0
313,0.4278717041015625,vel_ref_z,0.0
